COG_FUNCTION	enrichment_score	unadjusted_p_value	adjusted_q_value	associated_groups	function_accession	gene_clusters_ids	p_Host	p_Environment	N_Host	N_Environment
Sensor histidine kinase regulating citrate/malate metabolism	40.72442738275485	1.752823092133177e-10	1.801902138712906e-7	Environment	COG3290	GC_00001865	0.04	0.7619	50	21
Response regulator of citrate/malate metabolism	40.72442738275485	1.752823092133177e-10	1.801902138712906e-7	Environment	COG4565	GC_00001832	0.04	0.7619	50	21
Protocatechuate 3,4-dioxygenase beta subunit	38.87835945690192	4.5105325708783616e-10	2.530380574054961e-7	Environment	COG3485	GC_00001583, GC_00001705, GC_00001764, GC_00002016, GC_00003423, GC_00004832, GC_00006668, GC_00018491, GC_00027432, GC_00027621	0.16	0.9524	50	21
Phosphatidylinositol kinase or protein kinase, PI-3  family	38.70758641664348	4.922919404776189e-10	2.530380574054961e-7	Environment	COG5032	GC_00001874, GC_00004612	0.1	0.8571	50	21
Pterin-4a-carbinolamine dehydratase	33.9858093359441	5.551548948039412e-9	2.2827969274338066e-6	Environment	COG2154	GC_00002953, GC_00003196, GC_00005533, GC_00011481, GC_00025951, GC_00031226	0.08	0.7619	50	21
Membrane-bound metal-dependent hydrolase YbcI, DUF457 family	33.4540220346557	7.2968722934029564e-9	2.500394905872746e-6	Environment	COG1988	GC_00002120, GC_00007952, GC_00010922, GC_00021981	0.06	0.7143	50	21
Uncharacterized conserved protein YcaQ, contains winged helix DNA-binding domain	31.106099579625052	2.4430249733117644e-8	7.1755133501842675e-6	Environment	COG3214	GC_00002943, GC_00004031, GC_00006080, GC_00009282, GC_00019286, GC_00019744, GC_00025792, GC_00032449, GC_00041627	0.1	0.7619	50	21
PAS domain	30.062754342131612	4.1828832846107553e-8	1.0750010041449641e-5	Environment	COG2202	GC_00002135	0.02	0.5714	50	21
Predicted lactoylglutathione lyase	27.713369929552293	1.4068700814975296e-7	3.097608737987494e-5	Environment	COG3607	GC_00003107, GC_00012741	0	0.4762	50	21
Uncharacterized protein, contains von Willebrand factor type A (vWA) domain	27.580864712613	1.5066190359861353e-7	3.097608737987494e-5	Environment	COG4867	GC_00001763	0.1	0.7143	50	21
Alcohol dehydrogenase, class IV	26.89948066589325	2.1431646382926824e-7	4.005769542117959e-5	Environment	COG1454	GC_00001903, GC_00006334, GC_00013398	0.08	0.6667	50	21
ATP-, maltotriose- and DNA-dependent transcriptional regulator MalT	26.116843608686615	3.2136832856582187e-7	5.5061106960944144e-5	Environment	COG2909	GC_00002390, GC_00003661, GC_00003871, GC_00004223, GC_00006589, GC_00013863, GC_00014600, GC_00021876, GC_00024243, GC_00026470, GC_00026930, GC_00030349, GC_00034373	0.14	0.7619	50	21
ABC-type branched-chain amino acid transport system, periplasmic component	24.541044481661476	7.274364699508267e-7	1.0682924158706427e-4	Environment	COG0683	GC_00004197, GC_00008299, GC_00012604	0	0.4286	50	21
Phosphohistidine phosphatase SixA	24.541044481661476	7.274364699508267e-7	1.0682924158706427e-4	Environment	COG2062	GC_00002845	0	0.4286	50	21
Predicted benzoate:H+ symporter BenE	23.943526814708058	9.92032824354236e-7	1.3597463245815396e-4	Environment	COG3135	GC_00001744, GC_00003986, GC_00009246	0.16	0.7619	50	21
Uncharacterized protein YjiK	23.507832481802396	1.2440627523250244e-6	1.405698888213078e-4	Environment	COG3204	GC_00003194, GC_00013541, GC_00016830, GC_00029896, GC_00041398	0.02	0.4762	50	21
Mg2+/citrate symporter	23.312118275166664	1.3772950124843127e-6	1.405698888213078e-4	Environment	COG2851	GC_00001860, GC_00002097, GC_00004043	0.2	0.8095	50	21
3-methyladenine DNA glycosylase AlkD	23.312118275166664	1.3772950124843127e-6	1.405698888213078e-4	Environment	COG4912	GC_00002047, GC_00002324, GC_00009025, GC_00011415, GC_00014256, GC_00026921, GC_00028078, GC_00030114, GC_00033880	0.2	0.8095	50	21
Ca2+/H+ antiporter	23.21146479845293	1.451295305714761e-6	1.405698888213078e-4	Environment	COG0387	GC_00003047, GC_00003908, GC_00028148	0.06	0.5714	50	21
Uncharacterized conserved protein YndB, AHSA1/START domain	23.207630190611876	1.4541920393063399e-6	1.405698888213078e-4	Environment	COG3832	GC_00003422, GC_00004958, GC_00005094, GC_00005317, GC_00006557, GC_00008328, GC_00009963, GC_00010520, GC_00011416, GC_00012858, GC_00013823, GC_00014169, GC_00014810, GC_00015417, GC_00017503, GC_00017884, GC_00019680, GC_00020666, GC_00022622, GC_00022878, GC_00022948, GC_00024023, GC_00025661, GC_00026645, GC_00033072, GC_00033771, GC_00033922, GC_00036979, GC_00037143, GC_00038942, GC_00040951, GC_00042137	0.28	0.9048	50	21
Glucose/arabinose dehydrogenase, beta-propeller fold	23.142673018830763	1.5041525068427874e-6	1.405698888213078e-4	Environment	COG2133	GC_00002860, GC_00014331, GC_00037563, GC_00040164	0.04	0.5238	50	21
Phosphoenolpyruvate synthase/pyruvate phosphate dikinase	23.142673018830763	1.5041525068427874e-6	1.405698888213078e-4	Environment	COG0574	GC_00004126, GC_00004478, GC_00009924, GC_00014881	0.04	0.5238	50	21
Muconolactone delta-isomerase	22.808849652624392	1.7893984043355958e-6	1.5995665736147761e-4	Environment	COG4829	GC_00001618, GC_00013983, GC_00014026, GC_00022204, GC_00038241	0.14	0.7143	50	21
Hemoglobin-like flavoprotein	22.224796692485995	2.425213470383879e-6	2.0775995396288564e-4	Environment	COG1017	GC_00001339, GC_00006563	0.34	0.9524	50	21
Mannitol-1-phosphate/altronate dehydrogenases	21.95073334154226	2.7973998695595364e-6	2.3005816527257628e-4	Environment	COG0246	GC_00002063, GC_00002145, GC_00004363	0.18	0.7619	50	21
DNA-binding transcriptional regulator, HxlR family	21.517484026612518	3.506173580675354e-6	2.772574185334049e-4	Environment	COG1733	GC_00002733, GC_00003128, GC_00004408, GC_00005504, GC_00005694, GC_00005695, GC_00007782, GC_00016404, GC_00019114, GC_00022376, GC_00031971, GC_00032453, GC_00032630, GC_00033844, GC_00037646, GC_00038937, GC_00039781, GC_00041530	0.22	0.8095	50	21
Bacterial effector-binding domain	20.45723010093543	6.097876258267668e-6	4.030133731448991e-4	Environment	COG4978	GC_00003054, GC_00003773, GC_00009641, GC_00012063, GC_00017285, GC_00025232, GC_00037632, GC_00040753	0.08	0.5714	50	21
Transcriptional regulator GlxA family, contains an amidase domain and an AraC-type DNA-binding HTH domain	20.45723010093543	6.097876258267668e-6	4.030133731448991e-4	Environment	COG4977	GC_00004119, GC_00012043, GC_00012044, GC_00018967, GC_00020999, GC_00021799, GC_00025943, GC_00026458, GC_00027143, GC_00035987, GC_00038936, GC_00039545	0.08	0.5714	50	21
Uncharacterized conserved protein, DUF1684 family	20.40316966308621	6.272581683189091e-6	4.030133731448991e-4	Environment	COG3358	GC_00006224, GC_00011145, GC_00012205, GC_00023808, GC_00035127, GC_00037095	0.02	0.4286	50	21
Spore coat protein CotH	20.40316966308621	6.272581683189091e-6	4.030133731448991e-4	Environment	COG5337	GC_00004549, GC_00005397, GC_00019828, GC_00024866	0.02	0.4286	50	21
Uncharacterized membrane protein YhiD, involved in acid resistance	20.40316966308621	6.272581683189091e-6	4.030133731448991e-4	Environment	COG1285	GC_00003540, GC_00007594, GC_00027443	0.02	0.4286	50	21
K+ transporter	20.40316966308621	6.272581683189091e-6	4.030133731448991e-4	Environment	COG3158	GC_00004960, GC_00006166, GC_00011332, GC_00018899	0.02	0.4286	50	21
Uncharacterized membrane protein YkoI	20.096061356779177	7.364818816867894e-6	4.588505299236482e-4	Environment	COG3212	GC_00006453, GC_00006490, GC_00012988, GC_00021580, GC_00029702, GC_00039341, GC_00039838, GC_00040629	0.06	0.5238	50	21
Phenylpyruvate tautomerase PptA, 4-oxalocrotonate tautomerase family	20.034580775840517	7.605429438288828e-6	4.59904791915348e-4	Environment	COG1942	GC_00003368, GC_00006919, GC_00007510, GC_00026368, GC_00033134, GC_00033452	0.04	0.4762	50	21
