Strain	total_length	gc_content	percent_completion	percent_redundancy	num_genes	avg_gene_length	num_genes_per_kb	singleton_gene_clusters	num_gene_clusters	Ecosystem
Corynebacterium_ammoniagenesstrain_KCCM_40472	2808265	0.555395235	100	1.408450704	2543	989.9728667	0.905541322	110	2438	Host
Corynebacterium_amycolatum_LK19	2464491	0.589222278	98.5915493	-1	2161	1018.944933	0.87685449	285	2127	Host
Corynebacterium_aquilae_DSM_44791strain_S_613	2926437	0.609170336	100	1.408450704	2440	1019.27459	0.833778414	898	2385	Host
Corynebacterium_argentoratense_DSM_44202	2031902	0.589016872	98.5915493	1.408450704	1887	981.1526232	0.928686521	560	1858	Host
Corynebacterium_atypicumstrain_R2070	2359448	0.653586688	98.5915493	1.408450704	2145	978.0657343	0.909110945	353	1989	Host
Corynebacterium_aurimucosum_ATCC_700975	2819226	0.6055882	100	1.408450704	2638	955.4078848	0.935717818	179	2495	Host
Corynebacterium_callunae_DSM_20147	2928683	0.524515968	100	1.408450704	2696	956.7307122	0.920550295	314	2590	Environment
Corynebacterium_camporealensisstrain_DSM_44610	2451810	0.594096313	100	1.408450704	2269	981.0489202	0.925438757	277	2184	Host
Corynebacterium_casei_LMG_S_19264	3132213	0.556844989	100	1.408450704	2881	960.9278028	0.919796961	336	2690	Environment
Corynebacterium_choanisstrain_200CH	2986773	0.570372104	98.5915493	-1	2189	1059.05482	0.732898014	929	2155	Host
Corynebacterium_crudilactisstrain_JZ16	3217288	0.517480261	100	1.408450704	2928	966.3432377	0.910083275	280	2832	Environment
Corynebacterium_cystitidis_NCTC11863	3011567	0.569294656	100	1.408450704	2819	948.143668	0.936057541	782	2643	Host
Corynebacterium_deserti_GIMN1010	3033893	0.552509146	100	1.408450704	2775	951.7675676	0.914666404	265	2664	Environment
Corynebacterium_diphtheriae_31Astrain_31A	2535346	0.53621202	98.5915493	5.633802817	2377	939.26504	0.937544619	178	2254	Host
Corynebacterium_doosanense_CAU_212___DSM_45436strain_CAU_212	2698995	0.667825617	98.5915493	1.408450704	2616	936.4610092	0.969249665	570	2526	Environment
Corynebacterium_efficiens_YS_314	3219505	0.629738112	100	1.408450704	2917	977.7511142	0.906039904	406	2741	Environment
Corynebacterium_endometrii_LMM1653	2477061	0.609318866	100	1.408450704	2193	991.3105335	0.885323373	358	2112	Host
